Brand,Model,Selling_Price,KM_Driven
Maruti,Maruti 800 AC,60000,70000
Maruti,Maruti Wagon R LXI Minor,135000,50000
Hyundai,Hyundai Verna 1.6 SX,600000,100000
Datsun,Datsun RediGO T Option,250000,46000
Honda,Honda Amaze VX i-DTEC,450000,141000
Maruti,Maruti Alto LX BSIII,140000,125000
Hyundai,Hyundai Xcent 1.2 Kappa S,550000,25000
Tata,Tata Indigo Grand Petrol,240000,60000
Hyundai,Hyundai Creta 1.6 VTVT S,850000,25000
Maruti,Maruti Celerio Green VXI,365000,78000
Chevrolet,Chevrolet Sail 1.2 Base,260000,35000
Tata,Tata Indigo Grand Petrol,250000,100000
Toyota,Toyota Corolla Altis 1.8 VL CVT,1650000,25000
Maruti,Maruti 800 AC,60000,70000
Maruti,Maruti Wagon R LXI Minor,135000,50000
Hyundai,Hyundai Verna 1.6 SX,600000,100000
Datsun,Datsun RediGO T Option,250000,46000
Honda,Honda Amaze VX i-DTEC,450000,141000
Maruti,Maruti Alto LX BSIII,140000,125000
Hyundai,Hyundai Xcent 1.2 Kappa S,550000,25000
Tata,Tata Indigo Grand Petrol,240000,60000
Hyundai,Hyundai Creta 1.6 VTVT S,850000,25000
Maruti,Maruti Celerio Green VXI,365000,78000
Chevrolet,Chevrolet Sail 1.2 Base,260000,35000
Tata,Tata Indigo Grand Petrol,250000,100000
Toyota,Toyota Corolla Altis 1.8 VL CVT,1650000,25000
Maruti,Maruti Ciaz VXi Plus,585000,24000
Hyundai,Hyundai Venue SX Opt Diesel,1195000,5000
Chevrolet,Chevrolet Enjoy TCDi LTZ 7 Seater,390000,33000
Jaguar,Jaguar XF 2.2 Litre Luxury,1964999,28000
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,1425000,59000
Maruti,Maruti Vitara Brezza ZDi Plus AMT,975000,4500
Audi,Audi Q5 2.0 TDI,1190000,175900
Honda,Honda City V MT,930000,14500
Tata,Tata Tigor 1.2 Revotron XT,525000,15000
Audi,Audi A6 2.0 TDI  Design Edition,1735000,50000
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI Avantgarde,1375000,33800
Skoda,Skoda Superb Ambition 2.0 TDI CR AT,450000,130400
Toyota,Toyota Corolla Altis G AT,900000,50000
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,1300000,80000
Jeep,Jeep Compass 1.4 Sport Plus BSIV,1400000,10000
Mercedes-Benz,Mercedes-Benz E-Class E 200 CGI Elegance,850000,119000
Hyundai,Hyundai i10 Magna 1.1L,229999,60000
BMW,BMW 3 Series 320d Sport Line,1550000,75800
Audi,Audi Q7 35 TDI Quattro Premium,1250000,78000
Hyundai,Hyundai Elantra CRDi S,625000,40000
Mahindra,Mahindra Scorpio 1.99 S10,1050000,50000
Honda,Honda City i DTEC V,560000,74000
Maruti,Maruti Wagon R VXI BS IV with ABS,290000,64000
Maruti,Maruti Wagon R VXI BS IV,275000,60000
Mahindra,Mahindra Scorpio LX,411000,120000
Hyundai,Hyundai Santro Xing GLS,150000,79000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,500000,15000
Maruti,Maruti Alto LXi,100000,80000
Maruti,Maruti Swift Dzire VDI Optional,725000,18500
Maruti,Maruti Eeco 5 Seater AC BSIV,401000,10200
Hyundai,Hyundai i20 Sportz 1.4 CRDi,750000,29000
Maruti,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,310000,28000
